Brand,Price,Processor_brand,Threads,RAM_type,Storage_type,Graphics_brand,Graphics_integreted,Touch_screen,Operating_system,Log_Price,GPU_tier,RAM_tier,Storage_tier,Processor_gen_tier,Display_tier,ppi_tier,is_gaming,brand_tier,performance_score,display_quality
4,96990,0,16.0,4,2,0,0,1,5,11.482363159387589,0,2,2,1,1,0,0,2,32.0,6
4,37490,2,8.0,0,2,2,0,0,5,10.531829509729958,4,1,2,2,0,2,0,2,24.0,6
2,109990,2,20.0,4,2,2,0,0,5,11.608144731551162,4,2,0,2,0,4,0,1,60.0,12
8,46990,2,12.0,3,2,2,0,0,5,10.757690092096862,4,2,2,2,0,2,0,0,36.0,6
6,39990,0,12.0,0,2,0,0,0,5,10.596384701840863,0,1,2,0,0,2,0,1,12.0,6
4,65990,2,12.0,0,2,3,0,0,5,11.097258494377469,6,2,2,2,0,2,1,2,36.0,6
8,27990,2,8.0,0,2,2,1,0,5,10.2396025825095,4,1,2,2,0,2,0,0,24.0,6
0,78052,2,12.0,1,2,3,0,0,5,11.26513055021489,8,2,2,2,0,2,1,1,36.0,6
4,79990,0,16.0,1,2,3,0,0,5,11.289656905842868,7,2,2,0,0,2,1,2,16.0,6
7,52990,2,12.0,0,1,3,0,0,5,10.877858495486809,7,2,0,1,0,2,1,2,24.0,6
2,25990,2,2.0,0,2,2,1,0,5,10.165467127635536,4,1,1,2,0,2,0,1,6.0,6
6,55990,0,12.0,1,2,3,0,0,5,10.932928382342938,6,2,2,0,0,2,1,1,12.0,6
2,57990,2,12.0,0,2,3,0,0,5,10.968025860870489,6,2,2,1,0,2,1,1,24.0,6
4,68990,2,12.0,0,2,3,0,0,5,11.141716845540154,7,2,2,2,0,2,1,2,36.0,6
4,25580,0,4.0,0,2,0,0,0,5,10.149566075132832,0,1,2,0,0,2,0,2,4.0,6
9,52990,2,12.0,2,2,2,1,0,5,10.877858495486809,4,2,2,2,0,2,0,3,36.0,6
1,154900,1,12.0,0,2,1,0,0,2,11.95053502640496,1,1,2,2,0,4,0,3,36.0,12
6,54990,0,12.0,0,2,3,0,0,5,10.91490662950186,3,2,2,0,0,2,1,1,12.0,6
6,76990,2,18.0,4,2,2,0,0,5,11.251430822272097,4,2,0,2,1,0,0,1,54.0,6
2,329990,2,32.0,1,2,3,0,0,5,12.706817629953214,8,0,0,2,0,0,1,1,96.0,9
8,89999,2,16.0,1,2,3,0,0,5,11.40755383813956,8,2,2,2,0,0,1,0,48.0,9
4,69990,0,16.0,0,2,0,0,0,5,11.156107653683586,0,2,0,0,0,2,0,2,16.0,6
0,34299,2,8.0,0,2,2,0,0,5,10.44287147821008,4,2,2,2,0,2,0,1,24.0,6
7,599990,2,12.0,1,2,3,0,0,5,13.304668267392726,8,0,0,2,3,3,1,2,36.0,20
9,199990,2,22.0,5,2,2,0,1,5,12.206022644280132,4,2,2,2,0,4,0,3,66.0,12
8,52990,2,16.0,4,2,2,0,0,5,10.877858495486809,4,2,2,2,0,0,0,0,48.0,9
1,399900,1,12.0,0,2,1,0,0,2,12.89896979483491,1,0,0,2,0,3,0,3,36.0,15
0,32390,2,8.0,0,2,2,0,0,5,10.385605012165374,4,1,2,2,0,2,0,1,24.0,6
2,53990,2,12.0,0,2,3,0,0,5,10.896554123212333,6,1,2,1,0,2,1,1,24.0,6
4,52499,0,12.0,0,2,0,0,0,5,10.868549400779258,0,2,2,0,0,2,0,2,12.0,6
0,37490,0,12.0,0,2,0,0,0,5,10.531829509729958,0,2,2,0,0,2,0,1,12.0,6
4,89990,2,12.0,1,2,3,0,0,5,11.407453832027992,8,2,2,2,0,2,1,2,36.0,6
2,64990,2,16.0,0,2,2,0,0,5,11.081988690888394,4,2,2,2,0,2,0,1,48.0,6
3,38500,2,8.0,0,2,2,0,0,3,10.558413520275876,4,1,2,1,1,1,0,2,16.0,2
0,57990,2,12.0,0,2,3,0,0,5,10.968025860870489,3,2,2,2,0,2,1,1,36.0,6
2,89990,0,16.0,1,2,3,0,0,5,11.407453832027992,8,2,2,0,0,2,1,1,16.0,6
4,133999,2,14.0,4,2,2,1,1,5,11.805587616218634,4,0,0,2,1,0,0,2,42.0,6
2,149990,2,20.0,1,2,3,0,0,5,11.918323904189403,8,2,0,2,0,4,1,1,60.0,12
4,112990,0,16.0,1,2,3,0,0,5,11.635054598203292,7,2,0,0,0,0,1,2,16.0,9
0,69990,0,16.0,1,2,3,0,0,5,11.156107653683586,7,2,2,0,0,2,1,1,16.0,6
4,38990,0,12.0,0,2,0,0,0,5,10.571060481976644,0,1,2,0,0,2,0,2,12.0,6
3,108000,2,12.0,0,2,2,0,0,5,11.589886506106357,4,1,2,2,1,1,0,2,36.0,2
6,55390,2,12.0,4,2,2,1,0,5,10.92215435102715,4,2,2,2,0,2,0,1,36.0,6
1,133553,1,12.0,0,2,1,0,0,2,11.802253681782624,1,1,1,2,0,4,0,3,36.0,12
9,70990,2,12.0,3,2,2,0,0,5,11.170294301033431,4,1,2,2,0,2,0,3,36.0,6
7,197990,2,28.0,1,2,3,0,0,5,12.195971803350744,8,0,0,2,0,0,1,2,84.0,9
6,35500,2,4.0,0,2,2,0,0,5,10.477287975463508,4,1,2,1,0,2,0,1,8.0,6
0,49499,2,8.0,0,2,2,0,0,5,10.809707746332515,4,2,2,1,0,2,0,1,16.0,6
4,122000,2,12.0,4,2,3,0,1,5,11.711776323715394,7,2,0,2,0,2,1,2,36.0,6
6,43490,2,12.0,0,2,2,1,0,1,10.680286305591684,4,1,2,2,1,0,0,1,36.0,6
6,79990,2,18.0,4,2,2,0,0,5,11.289656905842868,4,2,0,2,1,0,0,1,54.0,6
4,175999,2,22.0,5,2,3,0,0,5,12.078233592185963,8,2,0,2,1,4,1,2,66.0,8
4,135999,0,16.0,1,2,3,0,0,5,11.82040281174998,8,0,0,0,0,0,1,2,16.0,9
4,58490,2,12.0,0,2,3,0,0,5,10.976611078437072,6,1,2,2,0,2,1,2,36.0,6
6,53490,2,12.0,4,2,2,1,0,5,10.887249999525295,4,2,2,2,0,2,0,1,36.0,6
6,149990,2,32.0,1,2,3,0,0,5,11.918323904189403,8,0,0,2,0,0,1,1,96.0,9
5,33990,2,8.0,3,2,2,1,0,5,10.433821642690162,4,2,2,1,0,2,0,0,16.0,6
6,69990,0,16.0,0,2,3,0,0,5,11.156107653683586,7,2,2,0,0,2,1,1,16.0,6
4,65990,2,12.0,0,2,3,0,0,5,11.097258494377469,6,2,0,2,0,2,1,2,36.0,6
1,186899,1,12.0,0,2,1,0,0,2,12.138323642974552,1,0,2,2,1,3,0,3,36.0,10
3,69990,2,12.0,0,2,2,0,0,5,11.156107653683586,4,2,2,2,0,2,0,2,36.0,6
5,25990,2,8.0,3,2,2,1,0,5,10.165467127635536,4,1,2,1,0,2,0,0,16.0,6
4,36512,2,8.0,0,2,2,1,0,5,10.505396252661802,4,1,2,2,0,2,0,2,24.0,6
8,43990,2,12.0,0,2,2,1,0,5,10.691717614342766,4,2,0,2,0,2,0,0,36.0,6
7,49990,0,12.0,1,2,0,0,0,5,10.819578264407616,0,1,2,0,0,2,0,2,12.0,6
2,28990,2,4.0,0,2,2,1,0,5,10.274706221915702,4,1,1,1,0,2,0,1,8.0,6
2,72990,2,16.0,0,2,3,0,0,5,11.198077724445678,7,2,2,1,0,2,1,1,32.0,6
7,41990,2,12.0,0,2,3,0,0,5,10.64518677367824,3,1,2,1,0,2,1,2,24.0,6
4,60200,2,12.0,0,2,3,0,0,5,11.005427631296913,3,2,2,1,0,2,1,2,24.0,6
5,18990,2,4.0,3,2,2,1,0,5,9.85166780380633,4,1,1,1,0,2,0,0,8.0,6
2,58990,2,16.0,0,2,2,0,0,5,10.98512321699712,4,2,2,2,0,2,0,1,48.0,6
4,64990,0,16.0,0,2,3,0,0,5,11.081988690888394,7,2,2,0,0,2,1,2,16.0,6
3,145990,2,12.0,1,2,3,0,0,5,11.891293405194023,8,2,2,2,0,2,1,2,36.0,6
4,37990,2,8.0,0,2,2,0,0,5,10.54507824618167,4,1,2,2,0,2,0,2,24.0,6
4,67990,2,12.0,0,2,3,0,0,5,11.127115914520504,7,2,2,2,0,2,1,2,36.0,6
2,65990,2,16.0,0,2,2,1,0,5,11.097258494377469,4,2,2,2,1,0,0,1,48.0,6
4,49490,0,12.0,0,2,0,0,0,5,10.809525907945932,0,1,2,0,0,2,0,2,12.0,6
4,77490,2,12.0,0,2,2,1,1,5,11.257904174757996,4,2,0,2,1,0,0,2,36.0,6
7,489883,2,20.0,1,2,3,0,0,5,13.101921866065194,8,0,0,2,3,3,1,2,60.0,20
3,99890,2,20.0,1,2,3,0,0,5,11.511824859526197,7,2,0,2,0,0,1,2,60.0,9
0,52990,2,16.0,0,2,3,0,0,5,10.877858495486809,6,2,2,2,0,2,1,1,48.0,6
1,119900,1,12.0,6,2,1,0,0,2,11.694413341015606,1,1,2,2,1,4,0,3,36.0,8
2,74990,2,16.0,0,2,2,0,0,5,11.225110050295434,4,2,2,2,1,4,0,1,48.0,8
9,48899,2,12.0,2,2,2,0,0,5,10.79751222535611,4,1,2,2,0,2,0,3,36.0,6
3,184999,2,12.0,0,2,3,0,0,4,12.128105698640448,5,2,2,1,0,2,0,2,24.0,6
8,8000,2,12.0,6,0,2,0,0,4,8.987196820661973,4,1,1,2,2,2,0,0,36.0,2
2,67990,2,12.0,0,2,2,1,0,5,11.127115914520504,4,2,2,2,0,2,0,1,36.0,6
7,119990,0,16.0,1,2,3,0,0,5,11.695163684958434,8,2,0,1,3,2,1,2,32.0,8
6,297758,2,32.0,1,2,3,0,0,5,12.604036355034603,8,0,0,2,0,0,1,1,96.0,9
9,85990,2,12.0,3,2,2,0,0,5,11.361986289404944,4,2,2,2,0,2,0,3,36.0,6
8,69990,2,18.0,5,2,2,0,0,5,11.156107653683586,4,0,0,2,0,4,0,0,54.0,12
8,59990,2,18.0,5,2,2,0,0,5,11.00193316064714,4,2,2,2,1,4,0,0,54.0,8
6,349990,2,32.0,1,2,3,0,0,5,12.765659861628857,8,0,0,2,0,4,1,1,96.0,12
4,70490,2,12.0,5,2,2,0,0,5,11.16322613476792,4,2,2,2,1,0,0,2,36.0,6
6,109990,0,16.0,5,2,0,1,0,5,11.608144731551162,4,0,2,0,1,0,0,1,16.0,6
4,86990,0,12.0,4,2,0,0,1,5,11.373548448501586,0,2,2,1,1,0,0,2,24.0,6
4,55990,0,12.0,0,2,0,0,0,5,10.932928382342938,0,2,0,0,0,2,0,2,12.0,6
6,17990,3,12.0,3,0,4,0,0,0,9.79757132694458,2,1,1,2,1,1,0,1,36.0,2
6,59390,2,12.0,4,2,2,1,0,5,10.991881141009904,4,2,2,2,0,2,0,1,36.0,6
5,24990,2,4.0,3,2,2,1,0,5,10.126231023828998,4,1,2,1,0,2,0,0,8.0,6
6,33990,0,8.0,4,2,0,0,0,5,10.433821642690162,0,1,2,0,0,2,0,1,8.0,6
